source,target,edge_type,weight,metadata
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_e31128635fa2,paper_reports_finding,1.0,{}
finding:E_e31128635fa2,mechanism:sleep quality,finding_supports_mechanism,0.83,{}
mechanism:sleep quality,variable:PSQI,mechanism_measured_by_variable,1.0,{}
variable:PSQI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_eb14c1d50d14,paper_reports_finding,1.0,{}
finding:E_eb14c1d50d14,mechanism:insomnia severity,finding_supports_mechanism,0.72,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_d250b2340a59,paper_reports_finding,1.0,{}
finding:E_d250b2340a59,mechanism:sleep quality,finding_supports_mechanism,0.72,{}
mechanism:sleep quality,variable:PSQI,mechanism_measured_by_variable,1.0,{}
variable:PSQI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_6d8e1c9579dc,paper_reports_finding,1.0,{}
finding:E_6d8e1c9579dc,mechanism:REM_NREM_switching,finding_supports_mechanism,0.72,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_9883d9c48463,paper_reports_finding,1.0,{}
finding:E_9883d9c48463,mechanism:insomnia severity,finding_supports_mechanism,0.72,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_bb8840e35872,paper_reports_finding,1.0,{}
finding:E_bb8840e35872,mechanism:sleep quality,finding_supports_mechanism,0.72,{}
mechanism:sleep quality,variable:PSQI,mechanism_measured_by_variable,1.0,{}
variable:PSQI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_69d8c77058e6,paper_reports_finding,1.0,{}
finding:E_69d8c77058e6,mechanism:insomnia severity,finding_supports_mechanism,0.72,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_d669b3dc625c,paper_reports_finding,1.0,{}
finding:E_d669b3dc625c,mechanism:sleep quality,finding_supports_mechanism,0.72,{}
mechanism:sleep quality,variable:PSQI,mechanism_measured_by_variable,1.0,{}
variable:PSQI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.1232,finding:E_7e192ecfc9eb,paper_reports_finding,1.0,{}
finding:E_7e192ecfc9eb,mechanism:white matter integrity,finding_supports_mechanism,0.69,{}
mechanism:white matter integrity,variable:FA,mechanism_measured_by_variable,1.0,{}
variable:FA,modality:DTI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_c827a4155172,paper_reports_finding,1.0,{}
finding:E_c827a4155172,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_bfa6cf7f535b,paper_reports_finding,1.0,{}
finding:E_bfa6cf7f535b,mechanism:thalamocortical coupling,finding_supports_mechanism,0.19,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_3d14b13918f2,paper_reports_finding,1.0,{}
finding:E_3d14b13918f2,mechanism:thalamic_reticular_spindle,finding_supports_mechanism,0.19,{}
mechanism:thalamic_reticular_spindle,variable:spindle,mechanism_measured_by_variable,1.0,{}
variable:spindle,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_8afde9a72f42,paper_reports_finding,1.0,{}
finding:E_8afde9a72f42,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_0d6d57f21959,paper_reports_finding,1.0,{}
finding:E_0d6d57f21959,mechanism:slow-wave generation,finding_supports_mechanism,0.83,{}
mechanism:slow-wave generation,variable:slow_wave_density,mechanism_measured_by_variable,1.0,{}
variable:slow_wave_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_ede97a708b0a,paper_reports_finding,1.0,{}
finding:E_ede97a708b0a,mechanism:REM_NREM_switching,finding_supports_mechanism,0.83,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_4618795c6937,paper_reports_finding,1.0,{}
finding:E_4618795c6937,mechanism:spindle generation,finding_supports_mechanism,0.72,{}
mechanism:spindle generation,variable:spindle_density,mechanism_measured_by_variable,1.0,{}
variable:spindle_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_8f3563cdfe8a,paper_reports_finding,1.0,{}
finding:E_8f3563cdfe8a,mechanism:thalamic_reticular_spindle,finding_supports_mechanism,0.72,{}
mechanism:thalamic_reticular_spindle,variable:spindle,mechanism_measured_by_variable,1.0,{}
variable:spindle,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_db38bc7a418a,paper_reports_finding,1.0,{}
finding:E_db38bc7a418a,mechanism:REM_NREM_switching,finding_supports_mechanism,0.72,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_788762b7467f,paper_reports_finding,1.0,{}
finding:E_788762b7467f,mechanism:thalamocortical coupling,finding_supports_mechanism,0.83,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_6726b5765fb0,paper_reports_finding,1.0,{}
finding:E_6726b5765fb0,mechanism:insomnia severity,finding_supports_mechanism,0.83,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_ed3c6afcd214,paper_reports_finding,1.0,{}
finding:E_ed3c6afcd214,mechanism:thalamic_reticular_spindle,finding_supports_mechanism,0.83,{}
mechanism:thalamic_reticular_spindle,variable:spindle,mechanism_measured_by_variable,1.0,{}
variable:spindle,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.1101/2021.07.20.453026,finding:E_be70e1d6c932,paper_reports_finding,1.0,{}
finding:E_be70e1d6c932,mechanism:cortical_slow_oscillation,finding_supports_mechanism,0.3,{}
mechanism:cortical_slow_oscillation,variable:cortical neuron,mechanism_measured_by_variable,1.0,{}
variable:cortical neuron,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.3390/brainsci10020071,finding:E_d95b9b320e21,paper_reports_finding,1.0,{}
finding:E_d95b9b320e21,mechanism:hyperarousal,finding_supports_mechanism,0.667,{}
mechanism:hyperarousal,variable:beta_power,mechanism_measured_by_variable,1.0,{}
variable:beta_power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.3390/brainsci10020071,finding:E_b9bf98a25d03,paper_reports_finding,1.0,{}
finding:E_b9bf98a25d03,mechanism:white matter integrity,finding_supports_mechanism,0.667,{}
mechanism:white matter integrity,variable:FA,mechanism_measured_by_variable,1.0,{}
variable:FA,modality:DTI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1016/j.dib.2023.109059,finding:E_44d153044ff0,paper_reports_finding,1.0,{}
finding:E_44d153044ff0,mechanism:confound / methodological limitation,finding_supports_mechanism,0.695,{}
mechanism:confound / methodological limitation,variable:age,mechanism_measured_by_variable,1.0,{}
variable:age,modality:Method,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_9aecc78b92ed,paper_reports_finding,1.0,{}
finding:E_9aecc78b92ed,mechanism:inflammatory_sleep_regulation,finding_supports_mechanism,0.3,{}
mechanism:inflammatory_sleep_regulation,variable:IL-6,mechanism_measured_by_variable,1.0,{}
variable:IL-6,modality:molecular,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_158aab99f4f7,paper_reports_finding,1.0,{}
finding:E_158aab99f4f7,mechanism:insomnia severity,finding_supports_mechanism,0.6,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_989a061ab343,paper_reports_finding,1.0,{}
finding:E_989a061ab343,mechanism:REM_NREM_switching,finding_supports_mechanism,0.6,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_3d3a1312ee7a,paper_reports_finding,1.0,{}
finding:E_3d3a1312ee7a,mechanism:inflammatory_sleep_regulation,finding_supports_mechanism,0.3,{}
mechanism:inflammatory_sleep_regulation,variable:IL-6,mechanism_measured_by_variable,1.0,{}
variable:IL-6,modality:molecular,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_0b4a63dcd8bd,paper_reports_finding,1.0,{}
finding:E_0b4a63dcd8bd,mechanism:default mode network dysregulation,finding_supports_mechanism,0.19,{}
mechanism:default mode network dysregulation,variable:functional connectivity,mechanism_measured_by_variable,1.0,{}
variable:functional connectivity,modality:fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_8d520367ebd8,paper_reports_finding,1.0,{}
finding:E_8d520367ebd8,mechanism:insomnia severity,finding_supports_mechanism,0.19,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_bf6d2fedd5ec,paper_reports_finding,1.0,{}
finding:E_bf6d2fedd5ec,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1186/s13020-025-01236-5,finding:E_aec25147e5cb,paper_reports_finding,1.0,{}
finding:E_aec25147e5cb,mechanism:inflammatory_sleep_regulation,finding_supports_mechanism,0.19,{}
mechanism:inflammatory_sleep_regulation,variable:IL-6,mechanism_measured_by_variable,1.0,{}
variable:IL-6,modality:molecular,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_c522da7c9a9c,paper_reports_finding,1.0,{}
finding:E_c522da7c9a9c,mechanism:slow-wave generation,finding_supports_mechanism,0.19,{}
mechanism:slow-wave generation,variable:slow_wave_density,mechanism_measured_by_variable,1.0,{}
variable:slow_wave_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_8b10b959c64e,paper_reports_finding,1.0,{}
finding:E_8b10b959c64e,mechanism:spindle generation,finding_supports_mechanism,0.19,{}
mechanism:spindle generation,variable:spindle_density,mechanism_measured_by_variable,1.0,{}
variable:spindle_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_d00f9c5e5d76,paper_reports_finding,1.0,{}
finding:E_d00f9c5e5d76,mechanism:thalamocortical coupling,finding_supports_mechanism,0.19,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_34ff6d2e95a5,paper_reports_finding,1.0,{}
finding:E_34ff6d2e95a5,mechanism:thalamic_reticular_spindle,finding_supports_mechanism,0.19,{}
mechanism:thalamic_reticular_spindle,variable:spindle,mechanism_measured_by_variable,1.0,{}
variable:spindle,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_fa9028aa139a,paper_reports_finding,1.0,{}
finding:E_fa9028aa139a,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_c019e4cb325c,paper_reports_finding,1.0,{}
finding:E_c019e4cb325c,mechanism:slow-wave generation,finding_supports_mechanism,0.19,{}
mechanism:slow-wave generation,variable:slow_wave_density,mechanism_measured_by_variable,1.0,{}
variable:slow_wave_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_1d188e37eb16,paper_reports_finding,1.0,{}
finding:E_1d188e37eb16,mechanism:spindle generation,finding_supports_mechanism,0.19,{}
mechanism:spindle generation,variable:spindle_density,mechanism_measured_by_variable,1.0,{}
variable:spindle_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_b3ed5946fd89,paper_reports_finding,1.0,{}
finding:E_b3ed5946fd89,mechanism:thalamic_reticular_spindle,finding_supports_mechanism,0.19,{}
mechanism:thalamic_reticular_spindle,variable:spindle,mechanism_measured_by_variable,1.0,{}
variable:spindle,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_21d9318cdd04,paper_reports_finding,1.0,{}
finding:E_21d9318cdd04,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_1f83e37dbf30,paper_reports_finding,1.0,{}
finding:E_1f83e37dbf30,mechanism:slow-wave generation,finding_supports_mechanism,0.19,{}
mechanism:slow-wave generation,variable:delta power,mechanism_measured_by_variable,1.0,{}
variable:delta power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_aaffaff66159,paper_reports_finding,1.0,{}
finding:E_aaffaff66159,mechanism:spindle generation,finding_supports_mechanism,0.19,{}
mechanism:spindle generation,variable:spindle_density,mechanism_measured_by_variable,1.0,{}
variable:spindle_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_400683770325,paper_reports_finding,1.0,{}
finding:E_400683770325,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_ba87b5850577,paper_reports_finding,1.0,{}
finding:E_ba87b5850577,mechanism:thalamocortical coupling,finding_supports_mechanism,0.72,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_a841637df0e5,paper_reports_finding,1.0,{}
finding:E_a841637df0e5,mechanism:REM_NREM_switching,finding_supports_mechanism,0.72,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_71ca07908875,paper_reports_finding,1.0,{}
finding:E_71ca07908875,mechanism:slow-wave generation,finding_supports_mechanism,0.3,{}
mechanism:slow-wave generation,variable:slow_wave_density,mechanism_measured_by_variable,1.0,{}
variable:slow_wave_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_c9c3483261ff,paper_reports_finding,1.0,{}
finding:E_c9c3483261ff,mechanism:spindle generation,finding_supports_mechanism,0.3,{}
mechanism:spindle generation,variable:sigma power,mechanism_measured_by_variable,1.0,{}
variable:sigma power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_0857476917d2,paper_reports_finding,1.0,{}
finding:E_0857476917d2,mechanism:thalamocortical coupling,finding_supports_mechanism,0.3,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_7e2930889cfe,paper_reports_finding,1.0,{}
finding:E_7e2930889cfe,mechanism:thalamocortical coupling,finding_supports_mechanism,0.72,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_e169fcce6567,paper_reports_finding,1.0,{}
finding:E_e169fcce6567,mechanism:slow-wave generation,finding_supports_mechanism,0.19,{}
mechanism:slow-wave generation,variable:slow_wave_density,mechanism_measured_by_variable,1.0,{}
variable:slow_wave_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_0e766f1d5e2c,paper_reports_finding,1.0,{}
finding:E_0e766f1d5e2c,mechanism:spindle generation,finding_supports_mechanism,0.19,{}
mechanism:spindle generation,variable:spindle_density,mechanism_measured_by_variable,1.0,{}
variable:spindle_density,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_8b674be904d5,paper_reports_finding,1.0,{}
finding:E_8b674be904d5,mechanism:thalamocortical coupling,finding_supports_mechanism,0.19,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1111/jsr.13166,finding:E_7f6495cf1608,paper_reports_finding,1.0,{}
finding:E_7f6495cf1608,mechanism:thalamic_reticular_spindle,finding_supports_mechanism,0.19,{}
mechanism:thalamic_reticular_spindle,variable:spindle,mechanism_measured_by_variable,1.0,{}
variable:spindle,modality:electrophysiology,variable_belongs_to_modality,1.0,{}
paper:doi:10.1016/j.jad.2019.07.027,finding:E_3966813bb158,paper_reports_finding,1.0,{}
finding:E_3966813bb158,mechanism:slow-wave generation,finding_supports_mechanism,0.302,{}
